,policy_id,policy_type,policy_description,policyholder_name,policy_start_date,policy_end_date,policy_length,premium_amount,estimated_coverage_total,deductible_amount
16,Paf651d8816,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Karen Mekee,2016-05-20,2017-04-09,324 days,514,5551.2,1700
17,Paf65449117,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Elvira Butler,2019-10-25,2020-01-28,95 days,1869,5918.5,1200
18,Paf65449218,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Dorothy Coward,2017-08-05,2018-02-06,185 days,887,5469.83,600
19,Paf65449419,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Charlotte Carter,2016-02-13,2016-11-25,286 days,1939,18485.13,1000
20,Paf65449520,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Charles Ragsdale,2014-02-26,2014-08-25,180 days,2269,13614.0,1300
21,Paf65449621,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Rashad Rivera,2020-03-21,2020-12-01,255 days,317,2694.5,800
22,Paf65449722,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Jacqueline Watson,2008-05-17,2008-08-10,85 days,1376,3898.67,200
23,Paf65449923,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Juanita Merrett,2022-04-26,2022-06-26,61 days,2278,4631.93,1800
24,Paf656ba324,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Sylvia Larson,2022-02-13,2022-12-17,307 days,2456,25133.07,700
25,Paf656ba425,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",James Walker,2021-12-07,2022-12-02,360 days,1492,17904.0,100
26,Paf656ba526,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Myrtle Martinez,2022-05-05,2023-04-27,357 days,2932,34890.8,1000
27,Paf656ba627,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Rosalie Holliday,2022-06-20,2022-09-17,89 days,1576,4675.47,1200
28,Paf656ba728,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Irma West,2021-04-23,2021-08-18,117 days,1575,6142.5,600
29,Paf656ba929,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Carolyn Thivierge,2021-08-22,2022-04-26,247 days,629,5178.77,700
30,Paf656baa30,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Gertrude Moschetti,2018-02-26,2018-09-01,187 days,1811,11288.57,200
31,Paf656bac31,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Paul Dove,2020-06-25,2021-03-04,252 days,1944,16329.6,1500
32,Paf6592b532,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Marianne Meehan,2010-09-01,2011-03-25,205 days,2582,17643.67,1200
33,Paf6592b633,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Daniel Robertson,2022-01-07,2022-11-26,323 days,685,7375.17,500
34,Paf6592b734,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Raul Lang,2016-08-11,2017-06-06,299 days,2485,24767.17,1100
35,Paf6592b935,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Judith Leonard,2013-03-06,2013-11-29,268 days,732,6539.2,1600
36,Paf6592ba36,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Laurie Andrade,2021-06-02,2022-02-02,245 days,382,3119.67,1900
37,Paf6592bb37,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Donald Pawlosky,2020-10-20,2021-05-15,207 days,898,6196.2,1000
38,Paf6592bd38,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Don Crouchet,2004-11-28,2005-04-11,134 days,919,4104.87,1600
39,Paf65b9c839,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Maria Doyle,2020-02-10,2020-05-26,106 days,1020,3604.0,1600
40,Paf65b9ca40,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Juanita Nunez,2007-03-23,2007-08-29,159 days,823,4361.9,400
41,Paf65b9cc41,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Joseph Triplett,2020-10-07,2021-09-04,332 days,704,7790.93,1100
42,Paf65b9cd42,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Annabell Coney,2021-05-26,2022-04-07,316 days,532,5603.73,1500
43,Paf65b9cf43,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Mina Jenkins,2019-12-03,2020-09-15,287 days,1591,15220.57,1000
44,Paf65b9d144,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Mary Ratzlaff,2017-04-16,2017-08-18,124 days,1082,4472.27,400
45,Paf65e0da45,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Robert Collins,2018-01-28,2018-05-03,95 days,2213,7007.83,400
46,Paf65e0dc46,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Arnold Chin,2018-08-11,2019-05-08,270 days,1079,9711.0,500
47,Paf65e0de47,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Sherry Williams,2021-09-04,2022-05-03,241 days,2401,19288.03,1300
48,Paf65e0df48,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Anita Frey,2001-03-25,2001-12-27,277 days,2596,23969.73,1900
49,Paf65e0e049,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Thomas Hess,2021-09-13,2022-07-12,302 days,1336,13449.07,1800
50,Paf65e0e250,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Richard Henderson,2015-10-10,2016-06-17,251 days,2105,17611.83,1800
51,Paf65e0e451,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Miguel Nieves,2015-05-20,2015-11-09,173 days,490,2825.67,1300
52,Paf6607ec52,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Donnie Williams,2012-05-13,2013-01-26,258 days,1673,14387.8,1000
53,Paf6607ee53,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Walter Eichhorn,2019-02-15,2019-12-21,309 days,2708,27892.4,1900
54,Paf6607ef54,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",John Fars,2017-08-20,2018-02-11,175 days,256,1493.33,1200
55,Paf6607f155,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Irma Orme,2019-11-22,2020-02-25,95 days,1927,6102.17,700
56,Paf6607f256,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Yvonne Hickey,2022-04-15,2022-07-27,103 days,2623,9005.63,200
57,Paf662eff57,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Evan Lesky,2022-10-14,2023-06-24,253 days,2863,24144.63,1900
58,Paf662f0158,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Samantha Sandoval,2006-01-16,2006-03-25,68 days,2681,6076.93,500
59,Paf662f0359,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Carolyn Williams,2022-10-17,2023-07-22,278 days,2171,20117.93,500
60,Paf662f0460,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",William Williams,2009-07-03,2010-04-04,275 days,1768,16206.67,900
61,Paf662f0661,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Vilma Belcher,2015-10-07,2015-12-23,77 days,1008,2587.2,100
62,Paf662f0762,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Helen Thomas,2013-02-17,2013-12-20,306 days,2221,22654.2,1200
63,Paf662f0863,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Wilbur Cruz,2018-11-13,2019-05-08,176 days,1677,9838.4,700
64,Paf66561164,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Maureen Richert,2012-01-19,2013-01-04,351 days,1141,13349.7,1500
65,Paf66561365,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Ivan Burke,2016-03-27,2016-09-28,185 days,741,4569.5,100
66,Paf66561566,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Kim Russ,2017-12-24,2018-08-30,249 days,1355,11246.5,1900
67,Paf66561667,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Jordan Ugalde,2022-11-09,2023-04-13,155 days,652,3368.67,100
68,Paf66561768,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Kimberly Daniel,2012-11-02,2013-08-04,275 days,2398,21981.67,200
69,Paf66561869,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Ray Edwards,2011-12-19,2012-05-01,134 days,770,3439.33,600
70,Paf66561970,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Jessica Gibbs,2022-12-14,2023-11-16,337 days,1282,14401.13,400
71,Paf667d2371,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Ian Perng,2001-02-13,2001-04-18,64 days,1960,4181.33,1200
72,Paf667d2572,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Antoinette Gibbs,2009-01-28,2009-06-19,142 days,1970,9324.67,1400
73,Paf667d2773,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Raymond Neal,2005-07-01,2006-06-07,341 days,363,4126.1,1600
74,Paf667d2874,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Katherine Burns,2018-05-05,2018-11-08,187 days,1751,10914.57,1000
75,Paf667d2975,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Harlan Miller,2012-12-28,2013-06-11,165 days,2260,12430.0,1000
76,Paf667d2b76,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Irene Sert,2009-10-16,2010-07-02,259 days,726,6267.8,200
77,Paf667d2c77,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Ralph Thiel,2013-08-03,2014-03-21,230 days,589,4515.67,1900
78,Paf667d2d78,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Blanche Flynn,2022-07-06,2023-05-16,314 days,261,2731.8,800
79,Paf66a43579,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Tina Libengood,2017-09-20,2018-03-07,168 days,1931,10813.6,1300
80,Paf66a43680,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Anthony Carlson,2018-12-18,2019-03-07,79 days,2479,6528.03,1400
81,Paf66a43881,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,William Hayden,2008-04-27,2009-01-25,273 days,1503,13677.3,500
82,Paf66a43a82,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Jennifer Boshard,2012-02-08,2012-12-31,327 days,2212,24110.8,1900
83,Paf66a43c83,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Arlene Jackson,2016-09-02,2016-12-11,100 days,1065,3550.0,1800
84,Paf66a43d84,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Evelyn Kline,2019-09-03,2019-12-15,103 days,1542,5294.2,1400
85,Paf66cb4685,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Amy Ruiz,2022-06-16,2022-12-25,192 days,597,3820.8,1900
86,Paf66cb4786,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Juan Johnson,2021-10-07,2022-07-25,291 days,2500,24250.0,1600
87,Paf66cb4987,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Dorothea Ramos,2019-07-16,2020-07-06,356 days,1975,23436.67,900
88,Paf66cb4a88,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Brad Vigil,2021-03-21,2021-12-06,260 days,2826,24492.0,1400
89,Paf66cb4b89,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Merle Gomez,2004-04-27,2005-03-25,332 days,1872,20716.8,1700
90,Paf66cb4d90,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Sharon Blair,2020-05-01,2021-03-29,332 days,1609,17806.27,200
91,Paf66cb4f91,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Shirley Holt,2017-05-23,2018-01-25,247 days,748,6158.53,900
92,Paf66f25992,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Tanya Brown,2019-10-28,2020-08-30,307 days,1473,15073.7,1900
93,Paf66f25b93,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Mary Rowan,2021-04-21,2021-07-21,91 days,1284,3894.8,400
94,Paf66f25c94,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Cecilia Williams,2022-06-11,2023-02-06,240 days,2588,20704.0,1800
95,Paf66f25d95,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Jean Gonzalez,2007-10-14,2008-01-22,100 days,728,2426.67,800
96,Paf66f25e96,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Jamie Weddle,2010-05-03,2010-08-22,111 days,1038,3840.6,700
97,Paf66f25f97,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Grant Tyree,2008-06-27,2009-02-14,232 days,433,3348.53,1400
98,Paf66f26098,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Gerald Bryant,2022-08-18,2023-06-03,289 days,979,9431.03,400
99,Paf66f26199,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Jeremy Berg,2021-03-21,2021-09-13,176 days,2735,16045.33,300
100,Paf67196b100,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Stephen Price,2015-07-25,2016-02-26,216 days,872,6278.4,1300
101,Paf67196c101,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Bernard Yu,2016-11-27,2017-07-10,225 days,2122,15915.0,300
102,Paf67196e102,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Tristan Breland,2022-05-23,2023-03-22,303 days,758,7655.8,700
103,Paf671970103,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Darlene Koonce,2014-09-13,2014-12-06,84 days,580,1624.0,200
104,Paf671971104,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Timothy Hammond,2006-02-11,2006-04-16,64 days,742,1582.93,1200
105,Paf671973105,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Juan Roy,2007-06-03,2007-10-24,143 days,1987,9471.37,1000
106,Paf671974106,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Jacinto Murrell,2002-06-09,2002-12-02,176 days,2969,17418.13,800
107,Paf671975107,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Pamela Backhaus,2022-02-24,2022-06-06,102 days,2803,9530.2,1700
