,policy_id,policy_type,policy_description,policyholder_name,policy_start_date,policy_end_date,policy_length,premium_amount,estimated_coverage_total,deductible_amount
10,Pdd3eb6e910,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Thomas Lancaster,2012-01-03,2012-10-29,300 days,607,6070.0,200
11,Pdd3eb6ec11,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Kayla Hagerty,2020-06-08,2021-06-06,363 days,1117,13515.7,1200
12,Pdd3eddf912,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Annie Larson,2022-12-15,2023-12-08,358 days,983,11730.47,700
13,Pdd3eddfb13,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",James Pierce,2016-07-28,2017-06-24,331 days,2893,31919.43,400
14,Pdd3eddfe14,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Daniel Allen,2015-01-18,2015-11-13,299 days,2370,23621.0,1300
15,Pdd3ede0015,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Steven Sherman,2019-07-26,2020-05-23,302 days,909,9150.6,1000
16,Pdd3f050c16,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Darla Leesman,2021-07-08,2021-10-04,88 days,1375,4033.33,100
17,Pdd3f050e17,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Yvette Horrocks,2022-05-18,2022-10-10,145 days,671,3243.17,800
18,Pdd3f051118,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Robert Wolfe,2022-09-18,2022-12-21,94 days,2431,7617.13,1900
19,Pdd3f2c1e19,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Ryan Irving,2018-01-28,2018-06-25,148 days,874,4311.73,1500
20,Pdd3f2c2120,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Melody Vick,2021-10-16,2022-10-08,357 days,2649,31523.1,200
21,Pdd3f2c2321,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Rachel Masten,2017-06-24,2018-01-04,194 days,2720,17589.33,600
22,Pdd3f2c2522,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",William Washington,2010-06-06,2011-03-12,279 days,1109,10313.7,200
23,Pdd3f533123,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Nicholas Bowey,2020-12-16,2021-09-20,278 days,2782,25779.87,1100
24,Pdd3f533424,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Edward Sickafoose,2020-02-18,2020-04-22,64 days,1702,3630.93,1400
25,Pdd3f533625,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Joe Sherron,2021-07-13,2022-05-11,302 days,1969,19821.27,100
26,Pdd3f7a4326,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Jessica Bell,2015-03-06,2015-11-06,245 days,1234,10077.67,700
27,Pdd3f7a4627,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Timothy Yoshida,2019-01-05,2019-08-07,214 days,750,5350.0,400
28,Pdd3f7a4928,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Hubert Reid,2015-11-20,2016-03-16,117 days,198,772.2,1700
29,Pdd3fa15629,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Paul Bloxham,2018-04-19,2018-09-04,138 days,402,1849.2,1900
30,Pdd3fa15830,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Toni Evers,2009-05-22,2009-11-17,179 days,1260,7518.0,700
31,Pdd3fa15b31,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,John Park,2020-04-12,2021-02-26,320 days,545,5813.33,1600
32,Pdd3fc86932,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Nellie Patterson,2022-07-15,2023-01-11,180 days,1868,11208.0,1000
33,Pdd3fc86c33,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Joyce West,2019-08-06,2020-05-07,275 days,1824,16720.0,300
34,Pdd3fc86f34,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Larry Monk,2006-05-15,2007-01-16,246 days,2693,22082.6,600
35,Pdd3fef7d35,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Mona Norton,2012-01-06,2012-11-05,304 days,1621,16426.13,600
36,Pdd3fef8036,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",David Batchelder,2018-08-17,2018-12-27,132 days,2754,12117.6,400
37,Pdd3fef8337,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Gloria Burgher,2012-04-02,2013-02-14,318 days,196,2077.6,100
38,Pdd40168f38,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Natalia Taylor,2009-05-16,2010-01-31,260 days,992,8597.33,1100
39,Pdd40169239,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Charles Searby,2021-06-15,2021-08-22,68 days,2633,5968.13,1300
40,Pdd403da240,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Walter Oconnell,2019-08-21,2020-07-01,315 days,1515,15907.5,1800
41,Pdd40419a41,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Nicole Swift,2012-01-04,2012-07-21,199 days,381,2527.3,1600
42,Pdd40419c42,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Anne Howard,2016-12-10,2017-02-12,64 days,1318,2811.73,1400
43,Pdd40419f43,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Richard Russell,2019-07-18,2020-05-16,303 days,334,3373.4,1500
44,Pdd407c9f44,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Omer Sargent,2022-03-27,2023-03-15,353 days,443,5212.63,1100
45,Pdd407ca245,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Blanche Reeder,2017-03-24,2018-01-05,287 days,755,7222.83,500
46,Pdd407ca546,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",David Olson,2006-06-13,2006-11-21,161 days,2043,10964.1,1100
47,Pdd407ca747,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Claire Hooten,2009-05-26,2009-10-04,131 days,399,1742.3,1000
48,Pdd407ca948,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Thomas Ramsey,2021-05-27,2022-05-09,347 days,1473,17037.7,600
49,Pdd407cab49,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Sally Muniz,2016-10-25,2017-04-20,177 days,2246,13251.4,1200
50,Pdd40cadd50,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Cletus Casey,2020-07-23,2021-04-27,278 days,1689,15651.4,600
51,Pdd40d86f51,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Clara Nelson,2011-04-04,2012-02-01,303 days,2850,28785.0,500
52,Pdd40d87252,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Glenn Hamilton,2008-05-11,2008-11-08,181 days,2187,13194.9,1200
53,Pdd40d87553,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Sarah Hillier,2012-03-03,2013-02-11,345 days,1125,12937.5,1700
54,Pdd40d87854,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Paul Hartung,2017-12-28,2018-11-14,321 days,276,2953.2,700
55,Pdd40d87a55,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",John Lund,2019-10-10,2020-06-13,247 days,2209,18187.43,400
56,Pdd40d87d56,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Jeff Moore,2012-07-25,2013-03-29,247 days,2611,21497.23,1800
57,Pdd40d88057,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Diana Ostermann,2020-06-22,2020-11-30,161 days,2485,13336.17,600
58,Pdd40d88358,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Edna Martin,2022-07-02,2023-04-15,287 days,827,7911.63,1500
59,Pdd40d88659,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Hattie Gibbs,2017-08-14,2018-02-16,186 days,1062,6584.4,800
60,Pdd40d88860,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Clarence Rivera,2018-06-13,2019-01-18,219 days,943,6883.9,700
61,Pdd40d88a61,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Gregory Lewis,2011-08-03,2012-07-16,348 days,580,6728.0,300
62,Pdd40d88c62,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Bill Eddie,2020-08-02,2021-06-14,316 days,412,4339.73,400
63,Pdd40d88f63,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Tish Nieves,2020-11-18,2021-10-16,332 days,123,1361.2,1000
64,Pdd40d89264,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Arlene Sandlan,2013-06-21,2013-09-04,75 days,814,2035.0,1500
65,Pdd40d89565,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Sheri Rose,2015-02-22,2015-11-15,266 days,408,3617.6,400
66,Pdd40d89766,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Robert Ochoa,2019-10-11,2019-12-17,67 days,2380,5315.33,100
67,Pdd40d89a67,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",David Vidal,2021-04-15,2021-12-05,234 days,811,6325.8,1000
68,Pdd40d89d68,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Shawn Kalupa,2018-05-27,2019-04-03,311 days,1125,11662.5,1300
69,Pdd40d89f69,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Elijah Campos,2022-02-02,2022-11-12,283 days,2337,22045.7,200
70,Pdd40d8a270,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Howard Schneeman,2021-06-05,2021-11-01,149 days,640,3178.67,200
71,Pdd40d8a571,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Elizabeth Vaughn,2005-04-09,2005-08-26,139 days,134,620.87,400
72,Pdd40d8a772,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Maria Nelson,2020-01-21,2020-05-19,119 days,229,908.37,500
73,Pdd40d8a973,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Jerome Hefferman,2021-06-06,2022-01-23,231 days,2623,20197.1,1000
74,Pdd40d8ac74,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Mitchell Meadows,2014-08-07,2015-07-11,338 days,425,4788.33,1500
75,Pdd42111375,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Sandra Jodha,2011-11-02,2012-03-09,128 days,2154,9190.4,900
76,Pdd421e4876,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Michael Hunt,2018-06-18,2018-11-05,140 days,2216,10341.33,400
77,Pdd421e4b77,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Joseph Harding,2021-03-21,2021-12-28,282 days,1585,14899.0,900
78,Pdd421e4d78,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Jason Summers,2021-03-16,2021-10-06,204 days,830,5644.0,600
79,Pdd421e5079,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,James Young,2019-10-26,2020-09-02,312 days,3000,31200.0,1300
80,Pdd421e5380,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",William Parker,2010-03-22,2010-12-03,256 days,911,7773.87,1200
81,Pdd421e5681,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Leta Calcote,2022-08-25,2023-01-01,129 days,437,1879.1,300
82,Pdd426c8882,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,Charles Hendricks,2022-06-19,2022-09-30,103 days,808,2774.13,500
83,Pdd427c6583,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Rick Baird,2022-10-28,2023-07-19,264 days,1648,14502.4,1700
84,Pdd427c6884,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Lillian Williams,2016-08-13,2017-06-17,308 days,2705,27771.33,900
85,Pdd427c6a85,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Jennifer Brothers,2019-11-17,2020-05-21,186 days,1286,7973.2,1500
86,Pdd427c6d86,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Janet Johnson,2020-06-05,2020-11-30,178 days,469,2782.73,400
87,Pdd427c6f87,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Eustolia Tell,2021-06-07,2021-08-14,68 days,2572,5829.87,1100
88,Pdd427c7188,Umbrella insurance,A type of insurance policy that provides additional liability coverage above and beyond the limits of other insurance policies. Umbrella insurance can provide protection for individuals or businesses against catastrophic losses or legal judgments that exceed the limits of their primary insurance policies.,Carolyn Chancellor,2022-12-23,2023-04-15,113 days,1994,7510.73,900
89,Pdd427c7389,Flood insurance,A type of insurance policy that provides coverage for damage to property caused by flooding. Flood insurance is typically not included in standard homeowners insurance policies and must be purchased separately.,William Grimes,2013-01-16,2013-04-12,86 days,904,2591.47,300
90,Pdd427c7590,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Barbara Voss,2012-01-04,2012-10-17,287 days,2416,23113.07,1900
91,Pdd427c7791,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Charles Hunt,2020-03-20,2020-10-31,225 days,790,5925.0,700
92,Pdd427c7a92,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Michael Jack,2019-01-19,2019-04-18,89 days,496,1471.47,100
93,Pdd427c7d93,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Marie Militello,2017-04-05,2018-04-05,365 days,856,10414.67,800
94,Pdd427c7f94,Business insurance,"A type of insurance policy that provides coverage for businesses against losses due to events such as theft, property damage, liability claims, and business interruptions. Business insurance can be tailored to meet the specific needs of the business owner.",Pamela Maisey,2020-02-09,2020-10-20,254 days,2200,18626.67,900
95,Pdd427c8295,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",David Holcomb,2022-03-21,2022-12-27,281 days,396,3709.2,500
96,Pdd427c8596,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Richard Vanorden,2012-06-06,2013-02-16,255 days,810,6885.0,1500
97,Pdd427c8897,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Angel Hancock,2006-09-10,2006-11-21,72 days,1673,4015.2,100
98,Pdd427c8a98,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",William Cunningham,2004-06-07,2004-11-23,169 days,2130,11999.0,1900
99,Pdd427c8c99,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Ronald Rivera,2018-07-16,2019-07-16,365 days,2099,25537.83,1000
100,Pdd427c8f100,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Gregorio Jones,2020-05-15,2021-02-28,289 days,250,2408.33,300
101,Pdd427c92101,Health insurance,"A type of insurance policy that covers the medical and surgical expenses of the policyholder. Health insurance can cover hospital stays, doctor visits, prescription medications, and other health-related expenses.",Oscar Torres,2022-06-24,2022-12-22,181 days,1933,11662.43,400
102,Pdd427c94102,Life insurance,A type of insurance policy that pays out a lump sum of money to the policyholder's beneficiaries upon their death. Life insurance can provide financial security for the policyholder's loved ones and can help cover expenses like funeral costs and outstanding debts.,Mary Conner,2021-11-19,2022-10-09,324 days,1174,12679.2,800
103,Pdd427c96103,Homeowners insurance,"A type of insurance policy that provides coverage for damage to the policyholder's home, as well as liability coverage for injuries or damage caused by the policyholder or their family members. Homeowners insurance may also cover personal belongings and additional living expenses if the policyholder's home is uninhabitable.",Jeffrey Fruge,2013-09-03,2014-06-02,272 days,1559,14134.93,200
104,Pdd427c99104,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Alison Martinez,2015-11-16,2016-08-06,264 days,2664,23443.2,200
105,Pdd427c9b105,Pet insurance,"A type of insurance policy that provides coverage for veterinary expenses related to the care of the policyholder's pet. Pet insurance can help cover expenses like medical treatments, surgeries, and medications.",Carol Culpepper,2019-07-25,2020-05-07,287 days,1368,13087.2,1400
106,Pdd427c9e106,Auto insurance,"A type of insurance policy that protects drivers against financial loss if they are involved in a car accident. Auto insurance can cover damage to the insured vehicle, medical expenses, liability for damages to others, and other related expenses.",Melba Ross,2006-09-14,2007-04-28,226 days,830,6252.67,300
