,id,first_name,last_name,address_line_1,address_line_2,address_city,address_state,address_zipcode,gender,marital_status,us_citizen,dob,survey_id,last_4_social,occupation,annual_income,net_worth,pilot_flag,scuba_flag,auto_racing_flag,recreational_climbing_flag,felony_flag,dui_flag,suspended_license_flag
10,10,Thomas,Lancaster,34 Holyoke Road,,Manchester,CT,06040,1,Married,0,1986-08-21,S50c2e82ddd5010,9656,President,166114,664456,0,1,0,1,0,1,1
11,11,Kayla,Hagerty,1828 East Parkshore Drive,#8,Fayetteville,AR,72703,0,Separated,0,1982-06-05,S50c2e82ddd5011,9965,Coordinator,74044,222132,0,1,1,1,0,0,0
12,12,Annie,Larson,73 Twin Hills Drive,,Longmeadow,MA,01106,1,Separated,1,1958-04-21,S50c2e82ddd5012,2522,Partner,129700,259400,0,0,0,1,0,0,1
13,13,James,Pierce,1865 North Higley Road,,Mesa,AZ,85205,0,Divorced,0,1951-09-25,S50c2e82ddd5013,6663,Superintendent,149618,0,0,0,0,0,0,0,0
14,14,Daniel,Allen,8125 Glynnwood Drive,,Montgomery,AL,36117,1,Divorced,0,1962-04-09,S50c2e82ddd5014,5881,Advisory,188003,752012,1,1,1,0,0,1,0
15,15,Steven,Sherman,2522 South College Drive,,Fayetteville,AR,72701,0,Widowed,0,1973-06-18,S50c2e82ddd5015,7776,Advisory,56253,0,0,1,0,1,0,0,0
16,16,Darla,Leesman,903 Burton Avenue,,Louisville,KY,40208,0,Divorced,1,1991-01-14,S50c2e82ddd5016,8729,Architect,49967,49967,1,0,1,1,0,1,0
17,17,Yvette,Horrocks,5 Irving Street,,Easthampton,MA,01027,1,Single,1,1992-02-08,S50c2e82ddd5017,7435,Director,45657,182628,0,1,1,0,0,0,1
18,18,Robert,Wolfe,2685 California Street,#APT 305,Mountain View,CA,94040,0,Widowed,1,1957-07-10,S50c2e82ddd5018,3491,Agent,90797,272391,1,1,1,0,0,0,0
19,19,Ryan,Irving,11501 Maple Way,,Louisville,KY,40229,0,Separated,1,1976-08-17,S50c2e82ddd5019,8478,Receptionist,175129,525387,0,0,0,0,1,0,0
20,20,Melody,Vick,8700 Seaton Boulevard,,Montgomery,AL,36116,1,Single,1,1953-01-04,S50c2e82ddd5020,4832,Engineer,134598,134598,1,1,0,1,1,1,1
21,21,Rachel,Masten,4770 Balboa Way,,Fremont,CA,94536,1,Separated,0,1949-03-23,S50c2e82ddd5021,6556,Engineer,131615,658075,0,1,0,1,0,1,0
22,22,William,Washington,3100 Don Juan Court,,Montgomery,AL,36110,1,Separated,0,1942-08-21,S50c2e82ddd5022,8966,Engineer,90992,90992,1,1,0,1,1,1,1
23,23,Nicholas,Bowey,88 Shute Street,#1,Everett,MA,02149,0,Married,0,2000-02-19,S50c2e82ddd5023,3225,Coordinator,50227,100454,0,1,1,1,0,0,0
24,24,Edward,Sickafoose,46710 Crawford Street,#APT 32,Fremont,CA,94539,0,Separated,0,1967-09-25,S50c2e82ddd5024,5592,Consultant,141942,567768,0,1,0,0,0,1,0
25,25,Joe,Sherron,6420 Via Baron,,Rancho Palos Verdes,CA,90275,1,Widowed,1,1957-12-14,S50c2e82ddd5025,8451,Surveyor,172769,518307,0,1,1,1,1,0,1
26,26,Jessica,Bell,119 Antioch Pike,,Nashville,TN,37211,0,Widowed,1,1987-12-20,S50c2e82ddd5026,0898,Partner,161631,808155,0,0,0,1,1,0,1
27,27,Timothy,Yoshida,11102 Little Rock Court,,Louisville,KY,40241,1,Single,0,1975-06-25,S50c2e82ddd5027,2284,Advisory,130836,654180,1,0,1,0,0,0,1
28,28,Hubert,Reid,22709 Canyon Terrace Drive,#2,Castro Valley,CA,94552,1,Separated,1,1940-05-04,S50c2e82ddd5028,8093,Controller,110164,0,1,1,1,0,1,1,0
29,29,Paul,Bloxham,4540 Phyllis Court,,Livermore,CA,94550,1,Separated,0,1979-02-11,S50c2e82ddd5029,6974,Controller,177229,354458,0,0,1,0,1,1,0
30,30,Toni,Evers,1125 West 41st Street,,Savannah,GA,31415,0,Divorced,1,1957-05-12,S50c2e82ddd5030,2245,Professional,154226,154226,0,1,0,0,1,0,0
31,31,John,Park,5038 North Cimarron Drive,,Beverly Hills,FL,34465,0,Single,0,1976-02-22,S50c2e82ddd5031,6226,Controller,82056,0,0,1,1,1,0,0,1
32,32,Nellie,Patterson,164 Tensaw Road,,Montgomery,AL,36117,0,Separated,1,1962-12-24,S50c2e82ddd5032,0142,Analyst,41018,123054,1,1,1,0,0,1,0
33,33,Joyce,West,940 Ironwood Drive,,Montgomery,AL,36117,0,Divorced,0,1946-05-26,S50c2e82ddd5033,5363,Economist,146903,293806,1,1,0,1,1,1,1
34,34,Larry,Monk,1304 Northern Hills Road,,Norman,OK,73071,1,Single,1,1950-10-25,S50c2e82ddd5034,8557,Administrator,40423,202115,1,1,1,1,1,1,0
35,35,Mona,Norton,905 C Street Northeast,,Washington,DC,20002,0,Widowed,1,1984-01-07,S50c2e82ddd5035,0166,Director,41123,82246,1,1,0,1,0,1,0
36,36,David,Batchelder,5959 North 55th Avenue,,Glendale,AZ,85301,1,Separated,0,1950-04-12,S50c2e82ddd5036,0179,Director,195181,390362,0,0,1,0,1,1,1
37,37,Gloria,Burgher,8757 Lamar Circle,,Arvada,CO,80003,1,Divorced,1,1969-10-01,S50c2e82ddd5037,2631,Counsel,53013,106026,1,0,0,0,0,0,0
38,38,Natalia,Taylor,816 West 19th Avenue,,Anchorage,AK,99503,0,Married,0,1946-08-11,S50c2e82ddd5038,6465,Consultant,116285,232570,0,1,1,0,0,1,1
39,39,Charles,Searby,600 West North Street,#D2,Fayetteville,AR,72701,1,Widowed,1,1953-07-21,S50c2e82ddd5039,7975,Executive,100059,500295,1,0,1,1,1,1,0
40,40,Walter,Oconnell,1729 Frankford Street Southeast,,Washington,DC,20020,1,Single,0,1983-11-28,S50c2e82ddd5040,0120,Leader,136956,547824,0,0,0,0,1,1,0
41,41,Nicole,Swift,1026 Orchard Avenue,,Louisville,KY,40213,0,Separated,1,1973-03-13,S50c2e82ddd5041,9135,Manager,120013,0,1,0,0,1,1,0,0
42,42,Anne,Howard,919 Windsor Avenue,,Annapolis,MD,21403,1,Divorced,0,1956-02-07,S50c2e82ddd5042,6075,Engineer,158150,158150,0,1,0,0,1,0,0
43,43,Richard,Russell,19 Euston Street,#1F,Brookline,MA,02446,1,Divorced,0,1969-06-03,S50c2e82ddd5043,5731,Supervisor,114741,114741,0,0,0,1,0,0,1
44,44,Omer,Sargent,243 New State Road,A-D,Manchester,CT,06042,1,Separated,0,1988-09-14,S50c2e82ddd5044,9070,Executive,169414,508242,1,0,0,1,1,0,0
45,45,Blanche,Reeder,314 Mesa Street,,Wheatland,CA,95692,0,Divorced,1,1990-06-19,S50c2e82ddd5045,7825,Executive,32874,0,1,0,1,1,0,0,1
46,46,David,Olson,3604 Ridgehaven Drive,,Midwest City,OK,73110,0,Single,0,1958-12-23,S50c2e82ddd5046,2400,Analyst,92159,0,0,1,1,0,1,1,1
47,47,Claire,Hooten,984 Greendale Avenue,,Needham,MA,02492,0,Separated,1,1940-01-15,S50c2e82ddd5047,1053,Director,99163,0,1,1,0,1,0,0,0
48,48,Thomas,Ramsey,102 East Ash Road,,Plymouth,VT,05056,0,Married,1,1994-08-02,S50c2e82ddd5048,0853,Controller,60846,0,1,1,1,0,0,0,1
49,49,Sally,Muniz,1513 Cathy Street,,Savannah,GA,31415,0,Single,0,1977-10-20,S50c2e82ddd5049,4792,Agent,180319,180319,0,1,0,0,0,1,0
50,50,Cletus,Casey,10819 Bluegrass Parkway,,Jeffersontown,KY,40299,1,Married,0,1962-11-01,S50c2e82ddd5050,7897,Appraiser,34113,0,1,1,1,1,0,0,0
51,51,Clara,Nelson,689 Stableway Road,,Pike Road,AL,36064,1,Separated,0,1987-12-06,S50c2e82ddd5051,4583,Estimator,23075,0,1,1,0,1,1,0,0
52,52,Glenn,Hamilton,2 Thompson Road,,Manchester,CT,06040,1,Widowed,0,1943-10-23,S50c2e82ddd5052,1136,Partner,133097,399291,0,0,1,1,0,1,0
53,53,Sarah,Hillier,301 East Court,,Savannah,GA,31404,0,Separated,0,1971-05-06,S50c2e82ddd5053,1209,Director,146630,146630,1,0,0,0,1,1,0
54,54,Paul,Hartung,8417 Timothy Lane,,Oklahoma City,OK,73135,1,Married,0,1942-05-21,S50c2e82ddd5054,1430,Boss,71792,358960,1,1,1,0,0,1,0
55,55,John,Lund,4712 Rock Creek Road,,Ardmore,OK,73401,1,Single,0,1945-11-25,S50c2e82ddd5055,0440,Representative,140965,140965,1,1,1,0,1,1,1
56,56,Jeff,Moore,1413 G Street,#STE 000001,Anchorage,AK,99501,0,Separated,0,1970-04-19,S50c2e82ddd5056,1952,Consultant,175640,175640,1,0,0,0,0,0,1
57,57,Diana,Ostermann,22062 Cameron Street,,Castro Valley,CA,94546,0,Divorced,1,1948-09-17,S50c2e82ddd5057,8714,Engineer,78579,157158,0,1,1,1,0,0,0
58,58,Edna,Martin,7002 South Bryant Avenue,,Oklahoma City,OK,73149,1,Divorced,1,1960-05-27,S50c2e82ddd5058,8282,Administrator,77974,389870,0,0,1,1,1,1,0
59,59,Hattie,Gibbs,1536 Rachaels Ridge,,Nashville,TN,37076,0,Married,1,1983-01-04,S50c2e82ddd5059,0799,Advisory,67868,339340,1,1,1,0,1,0,0
60,60,Clarence,Rivera,1990 Poplar Ridge Road,,Pasadena,MD,21122,1,Married,1,1953-01-20,S50c2e82ddd5060,5020,Director,170003,340006,1,1,0,0,0,0,0
61,61,Gregory,Lewis,416 Ridge Street Northwest,,Washington,DC,20001,1,Married,0,1973-08-23,S50c2e82ddd5061,2227,Officer,47788,238940,0,1,1,0,0,0,1
62,62,Bill,Eddie,2505 Shadow Lane,,Nashville,TN,37216,0,Separated,0,1995-05-07,S50c2e82ddd5062,6715,Administrator,183562,734248,1,0,1,0,1,0,1
63,63,Tish,Nieves,201 West Montgomery Cross Road,#170,Savannah,GA,31406,1,Single,0,1975-05-26,S50c2e82ddd5063,6324,Manager,79358,79358,0,0,1,1,1,0,0
64,64,Arlene,Sandlan,5912 North 48th Avenue,,Glendale,AZ,85301,1,Divorced,1,1960-09-20,S50c2e82ddd5064,4316,Superintendent,108661,0,1,1,1,1,0,0,1
65,65,Sheri,Rose,10638 Happyville Road,,Youngstown,FL,32466,0,Married,0,1992-05-03,S50c2e82ddd5065,4861,President,111743,0,1,0,1,1,0,1,0
66,66,Robert,Ochoa,4107 East 68th Avenue,APT D,Anchorage,AK,99507,0,Divorced,0,1991-03-18,S50c2e82ddd5066,7240,Officer,145538,0,1,0,0,0,0,0,1
67,67,David,Vidal,2835 Jed Road,,Escondido,CA,92027,1,Separated,0,1966-05-07,S50c2e82ddd5067,0539,Consultant,60885,0,1,1,1,0,0,1,0
68,68,Shawn,Kalupa,2849 Leawood Drive,,Anchorage,AK,99502,0,Single,1,1989-04-09,S50c2e82ddd5068,0377,Broker,95216,380864,1,0,0,0,0,1,1
69,69,Elijah,Campos,8432 West 78th Circle,,Arvada,CO,80005,1,Single,1,1943-05-17,S50c2e82ddd5069,4793,Partner,156217,781085,1,0,1,1,1,1,1
70,70,Howard,Schneeman,86 Pine Street,#3,Cambridge,MA,02139,1,Widowed,0,1964-02-18,S50c2e82ddd5070,8429,Estimator,33480,100440,0,1,0,1,1,1,0
71,71,Elizabeth,Vaughn,8446 Coors Loop,,Arvada,CO,80005,0,Widowed,1,1988-03-05,S50c2e82ddd5071,0938,Leader,169140,507420,0,0,0,1,1,1,0
72,72,Maria,Nelson,3408 Bellisima Place,#204,Louisville,KY,40245,0,Divorced,0,1980-02-12,S50c2e82ddd5072,3577,Representative,63667,127334,0,0,1,0,1,1,1
73,73,Jerome,Hefferman,26 Garfield Street,,Bristol,VT,05443,0,Single,1,1983-05-02,S50c2e82ddd5073,2685,Estimator,69952,279808,1,1,1,0,0,1,1
74,74,Mitchell,Meadows,19237 North 69th Avenue,,Glendale,AZ,85308,0,Widowed,1,1956-07-07,S50c2e82ddd5074,0293,Operator,111022,333066,0,0,1,0,0,0,0
75,75,Sandra,Jodha,713 Millard Fuller Drive,,Montgomery,AL,36110,1,Divorced,1,1989-02-10,S50c2e82ddd5075,7769,Vice-president,148116,592464,1,1,1,0,1,0,1
76,76,Michael,Hunt,5630 Silverado Way,#STE A8,Anchorage,AK,99518,0,Married,0,1984-02-23,S50c2e82ddd5076,0099,Economist,195359,390718,1,0,1,0,0,0,1
77,77,Joseph,Harding,8213 Northwest 65th Place,,Oklahoma City,OK,73132,1,Single,0,1953-02-13,S50c2e82ddd5077,5695,Engineer,47384,142152,1,1,0,0,1,0,0
78,78,Jason,Summers,22424 Birchwood Loop Road,,Anchorage,AK,99567,1,Widowed,1,1965-12-13,S50c2e82ddd5078,5847,Operator,108459,108459,0,0,0,0,1,1,0
79,79,James,Young,23128 Donalda Avenue,,Port Charlotte,FL,33954,1,Separated,0,1944-03-01,S50c2e82ddd5079,0404,Surveyor,197146,985730,0,1,1,0,0,0,1
80,80,William,Parker,3325 Dix Street Northeast,,Washington,DC,20019,1,Single,1,1995-09-05,S50c2e82ddd5080,1964,Consultant,51476,51476,0,0,0,1,0,1,1
81,81,Leta,Calcote,4024 Northwest 16th Street,,Oklahoma City,OK,73107,1,Widowed,1,1992-02-24,S50c2e82ddd5081,9868,Receptionist,104740,523700,0,0,1,0,0,1,1
82,82,Charles,Hendricks,108 Springer Lane,,Yarmouth,MA,02673,1,Divorced,1,1991-01-02,S50c2e82ddd5082,5953,President,97367,194734,1,1,0,1,1,0,0
83,83,Rick,Baird,115 Saint John Street,,Manchester,CT,06040,1,Widowed,1,1942-10-06,S50c2e82ddd5083,9847,Counsel,113814,0,1,1,1,0,1,0,0
84,84,Lillian,Williams,14 Short Circle,,Conway,AR,72032,0,Widowed,0,1966-09-26,S50c2e82ddd5084,5453,Boss,148482,148482,1,1,1,1,0,1,1
85,85,Jennifer,Brothers,5128 West Carol Avenue,,Glendale,AZ,85302,1,Widowed,1,1971-10-14,S50c2e82ddd5085,3708,Engineer,177077,708308,1,1,0,0,0,0,1
86,86,Janet,Johnson,9302 West 58th Avenue,,Arvada,CO,80002,1,Separated,0,1946-08-14,S50c2e82ddd5086,3221,Manager,102902,0,0,1,1,1,1,0,0
87,87,Eustolia,Tell,1828 East Parkshore Drive,#8,Fayetteville,AR,72703,1,Widowed,0,1970-04-24,S50c2e82ddd5087,1909,Boss,118811,0,0,0,0,1,0,1,1
88,88,Carolyn,Chancellor,269 Hugh Thomas Drive,,Panama City,FL,32404,1,Divorced,1,1956-07-13,S50c2e82ddd5088,4010,Estimator,54141,0,1,1,0,0,1,1,0
89,89,William,Grimes,435 East 5th Avenue,,Anchorage,AK,99501,1,Married,0,1959-03-27,S50c2e82ddd5089,8039,Administrator,42645,85290,0,0,1,0,0,1,1
90,90,Barbara,Voss,8820 Vaughn Road,,Montgomery,AL,36117,0,Separated,1,1996-02-22,S50c2e82ddd5090,9378,Executive,24434,24434,1,0,0,0,0,0,1
91,91,Charles,Hunt,1823 Dinger Road,,Annapolis,MD,21402,0,Single,0,1980-07-27,S50c2e82ddd5091,1834,Executive,72211,144422,1,0,1,0,1,1,1
92,92,Michael,Jack,112 3rd Street Northeast,,Washington,DC,20002,1,Divorced,1,1947-11-10,S50c2e82ddd5092,0013,Professional,68726,68726,0,0,0,1,1,1,1
93,93,Marie,Militello,5396 North Reese Avenue,,Fresno,CA,93722,0,Divorced,1,1998-09-15,S50c2e82ddd5093,3043,Economist,150707,602828,0,0,0,0,1,1,0
94,94,Pamela,Maisey,16 Redbud Way,,Marlborough,MA,01752,1,Married,0,1978-06-16,S50c2e82ddd5094,9686,Vice-president,122374,122374,0,1,0,0,0,0,1
95,95,David,Holcomb,15238 North 65th Avenue,,Glendale,AZ,85306,1,Widowed,1,1965-02-28,S50c2e82ddd5095,6228,Representative,152783,152783,1,1,0,1,0,1,1
96,96,Richard,Vanorden,Biloxi Crossing,#3,Fayetteville,AR,72701,0,Married,1,1955-09-26,S50c2e82ddd5096,8008,Consultant,76066,0,0,1,0,1,1,1,1
97,97,Angel,Hancock,4728 Rockland Trail,,Nashville,TN,37013,1,Divorced,1,1948-08-03,S50c2e82ddd5097,7995,Professional,128236,512944,1,0,1,0,0,1,0
98,98,William,Cunningham,697 Parker Street,,Manchester,CT,06042,0,Single,1,1972-02-16,S50c2e82ddd5098,9970,Architect,90782,453910,0,0,0,0,0,1,1
99,99,Ronald,Rivera,219 Shana Road,,Glen Burnie,MD,21060,1,Single,1,1982-12-20,S50c2e82ddd5099,8546,Surveyor,168222,0,1,1,0,0,0,1,0
100,100,Gregorio,Jones,5144 Cattail Court,,Fayetteville,AR,72701,1,Separated,0,1974-01-05,S50c2e82ddd50100,8474,Coordinator,140308,0,0,0,0,1,0,0,1
101,101,Oscar,Torres,136 Acacia Drive,,Blue Lake,CA,95525,0,Married,1,1947-11-11,S50c2e82ddd50101,3335,Superintendent,115420,115420,0,1,1,1,1,0,1
102,102,Mary,Conner,1605 Remington Road,,Edmond,OK,73034,1,Divorced,0,1949-02-23,S50c2e82ddd50102,8200,Broker,55183,165549,0,1,0,0,0,1,1
103,103,Jeffrey,Fruge,11 Adams Street,,Arlington,MA,02474,1,Single,0,1964-01-03,S50c2e82ddd50103,6142,Representative,50922,0,1,0,1,1,0,1,0
104,104,Alison,Martinez,1635 Generals Highway,,Annapolis,MD,21401,1,Divorced,1,1977-02-04,S50c2e82ddd50104,3132,Professional,73979,73979,0,0,1,1,1,1,0
105,105,Carol,Culpepper,2829 31st Street Northwest,,Washington,DC,20008,0,Married,1,1985-03-17,S50c2e82ddd50105,7487,Boss,63982,63982,0,0,0,0,0,0,1
106,106,Melba,Ross,722 Oak Grove Circle,,Severna Park,MD,21146,0,Single,1,1992-04-06,S50c2e82ddd50106,9469,Surveyor,147546,147546,0,0,1,1,0,0,0
107,107,Diane,Jones,4000 Beth Manor Drive,,Montgomery,AL,36109,1,Widowed,0,1987-08-20,S50c2e82ddd50107,2288,Advisory,73312,73312,0,1,0,0,0,1,1
108,108,Amber,Quinones,5112 Southwest 124th Place,,Oklahoma City,OK,73173,0,Separated,0,1996-02-23,S50c2e82ddd50108,5341,Officer,131598,657990,0,0,0,0,0,0,0
109,109,Joshua,Fitzgerald,195 Kennedy Road,,Manchester,CT,06042,1,Single,1,1993-09-23,S50c2e82ddd50109,3863,Appraiser,29832,0,1,0,0,0,0,0,0
110,110,James,Webb,4 Elm Street,,Windsor,VT,05089,0,Separated,1,1941-02-18,S50c2e82ddd50110,8600,Superintendent,172119,344238,1,0,0,1,1,0,1
111,111,Alison,Jones,7013 Collinswood Drive,,Nashville,TN,37221,1,Widowed,0,1999-02-16,S50c2e82ddd50111,5561,Vice-president,45764,183056,1,1,1,0,0,1,0
112,112,Thomas,Harmon,4709 North Willow Avenue,,Bethany,OK,73008,1,Single,1,1957-05-08,S50c2e82ddd50112,4205,Advisory,28058,84174,1,0,1,1,0,1,0
113,113,April,Masuda,3752 Roswell Place,,Montgomery,AL,36116,0,Married,1,1988-06-23,S50c2e82ddd50113,4413,Advisory,24697,24697,1,1,1,1,1,0,0
114,114,Jeffrey,Sisson,4341 Ponds Street Northeast,,Washington,DC,20019,0,Married,1,1964-09-22,S50c2e82ddd50114,5945,Administrator,144706,578824,0,0,1,1,0,0,1
115,115,Lidia,Olding,1245 Southwest 31st Street,,Oklahoma City,OK,73109,1,Widowed,1,1965-07-28,S50c2e82ddd50115,3668,Director,118091,118091,1,0,0,1,1,0,0
116,116,Juanita,Mancini,88 Shute Street,#1,Everett,MA,02149,0,Married,1,1963-03-16,S50c2e82ddd50116,0783,Underwriter,52695,263475,1,0,0,1,0,0,1
117,117,Leanne,Emmert,1046 Dudley Avenue,,Louisville,KY,40204,0,Married,0,1975-11-18,S50c2e82ddd50117,9075,Vice-president,38336,0,1,1,1,1,0,0,1
118,118,Harold,Rempel,376 North Williams Drive,,Fayetteville,AR,72701,1,Divorced,0,1955-07-19,S50c2e82ddd50118,7436,Broker,68583,205749,0,1,0,0,1,1,1
119,119,Shelby,Pajtas,45 Brackett Street,#611,Quincy,MA,02169,0,Widowed,1,1947-09-01,S50c2e82ddd50119,6457,Economist,85568,171136,0,1,0,0,1,0,1
120,120,Armida,Ray,6241 Hudson Creek Drive,,Louisville,KY,40291,0,Separated,0,1944-04-13,S50c2e82ddd50120,7819,Vice-president,127281,636405,0,0,1,0,1,0,1
121,121,Richard,Chowenhill,66 Bradford Road,,Braintree,MA,02184,1,Single,0,1990-04-04,S50c2e82ddd50121,5618,Economist,29248,58496,1,1,0,0,1,0,1
122,122,Hal,Cook,733 East DeRenne Avenue,,Savannah,GA,31405,0,Separated,0,1947-01-09,S50c2e82ddd50122,8338,Economist,114478,457912,0,1,1,0,0,1,1
123,123,Jon,Bailey,2147 Millhaven Drive,,Edgewater,MD,21037,1,Married,0,1990-07-25,S50c2e82ddd50123,8108,Vice-president,158155,790775,0,0,0,1,0,1,0
124,124,Graig,Cope,12002 Vanherr Drive,,Louisville,KY,40299,1,Separated,0,2000-12-21,S50c2e82ddd50124,6143,Receptionist,49137,196548,1,1,1,0,1,0,1
125,125,Audrey,Palmo,330 Michell Court,,Livermore,CA,94551,1,Widowed,0,1945-01-24,S50c2e82ddd50125,6463,Researcher,151189,151189,0,0,0,0,0,1,0
126,126,Alan,Keenan,190 High Street,#213C,Medford,MA,02155,0,Separated,1,1940-06-16,S50c2e82ddd50126,6872,Surveyor,171351,856755,1,1,1,1,1,0,1
127,127,Yolanda,Henry,140 West Cooper Avenue,,Aspen,CO,81611,1,Single,1,1972-12-08,S50c2e82ddd50127,4079,Manager,36747,183735,1,1,0,0,1,0,1
128,128,Morris,Pettrey,6311 West Wagoner Road,,Glendale,AZ,85308,0,Divorced,1,1983-09-21,S50c2e82ddd50128,9881,Architect,171821,0,0,1,1,1,0,0,0
129,129,Gayle,Janda,3904 Martagon Circle,,Anchorage,AK,99516,0,Divorced,1,1987-08-09,S50c2e82ddd50129,4877,Messenger,199695,199695,0,1,1,0,1,1,0
130,130,James,Gallaher,80 South Main Street,#1,Randolph,MA,02368,0,Widowed,1,1941-05-04,S50c2e82ddd50130,4163,Consultant,21050,63150,1,0,0,1,0,1,1
131,131,Ana,Miller,8121 Copper Creek Drive,,Lyndon,KY,40222,1,Separated,1,1944-05-14,S50c2e82ddd50131,4495,Specialist,195888,195888,0,1,0,1,1,1,1
132,132,Lisa,Long,10881 Northforde Drive,,Cupertino,CA,95014,1,Married,0,1978-11-02,S50c2e82ddd50132,5093,Manager,142142,426426,1,0,0,0,1,1,0
133,133,Steven,Goodrich,595 West 54th Street,#4,Savannah,GA,31405,0,Divorced,1,1946-10-23,S50c2e82ddd50133,4315,President,86936,347744,1,1,0,1,1,0,0
134,134,Jorge,Owens,4922 West Cholla Street,,Glendale,AZ,85304,0,Single,0,1979-01-08,S50c2e82ddd50134,7600,Boss,82280,329120,0,0,0,1,0,0,1
135,135,Tara,Trevino,1309 Columbia Road Northwest,,Washington,DC,20009,1,Separated,1,1971-08-11,S50c2e82ddd50135,4379,Specialist,136348,0,1,1,1,0,0,0,0
136,136,Kellie,Wright,22219 Panama City Beach Parkway,,Panama City Beach,FL,32413,1,Married,1,1995-05-16,S50c2e82ddd50136,7228,Professional,77915,233745,1,1,1,0,0,0,1
137,137,Charles,Vargas,1870 A Street,,Oroville,CA,95966,0,Single,1,1999-03-08,S50c2e82ddd50137,0890,Coordinator,120227,240454,0,1,1,0,0,1,1
138,138,Shannon,Egan,2142 Colonel Way,,Odenton,MD,21113,0,Married,0,1966-12-07,S50c2e82ddd50138,7107,Administrator,133563,133563,1,0,0,0,1,0,1
139,139,Clinton,Monday,10881 Northforde Drive,,Cupertino,CA,95014,0,Married,0,1989-02-21,S50c2e82ddd50139,1120,Supervisor,41277,123831,0,0,0,0,0,1,0
140,140,Carmen,Hernandez,98 Lincoln Street,,Revere,MA,02151,1,Married,1,1982-06-15,S50c2e82ddd50140,2794,Superintendent,59506,297530,0,0,0,0,1,0,0
141,141,Ron,Pomerleau,8349 West Stella Way,,Glendale,AZ,85305,1,Separated,0,1996-04-09,S50c2e82ddd50141,6787,Manager,34600,34600,0,1,0,0,1,0,1
142,142,Kyle,Maier,3808 South Smiley Circle,,Montgomery,AL,36108,0,Widowed,1,1981-01-24,S50c2e82ddd50142,6096,Researcher,114049,570245,1,1,0,0,0,1,0
143,143,Denis,Barlow,449 15th Street Northeast,,Washington,DC,20002,1,Single,0,1977-02-11,S50c2e82ddd50143,4678,Surveyor,134650,0,1,1,0,0,0,1,0
144,144,Rafael,Ruic,4409 Star Jasmine Court,,Bakersfield,CA,93304,0,Divorced,0,1977-11-05,S50c2e82ddd50144,2173,Representative,105237,105237,1,0,1,1,0,0,1
145,145,Leroy,Cooper,143 Canton Court,,Goodlettsville,TN,37072,1,Single,1,1946-03-22,S50c2e82ddd50145,2743,Receptionist,100234,200468,1,1,1,1,1,1,0
146,146,William,Robinson,1643 North Jordan Lane,,Fayetteville,AR,72703,0,Separated,1,1972-11-18,S50c2e82ddd50146,2970,Researcher,88245,88245,1,0,0,0,0,1,1
147,147,Robert,Hughes,2543 The Meadows,,Montgomery,AL,36116,0,Single,0,1955-10-10,S50c2e82ddd50147,6161,Broker,51461,0,1,0,0,0,0,0,1
148,148,Melanie,Harrison,243 Kentucky Avenue,,Pasadena,MD,21122,1,Separated,1,1968-12-14,S50c2e82ddd50148,2303,Researcher,40625,81250,1,0,1,0,0,1,1
149,149,Robert,Tarango,864 Main Street,,Worcester,MA,01610,0,Widowed,0,1982-02-09,S50c2e82ddd50149,4621,Receptionist,44623,178492,1,0,1,1,0,0,1
